$id,foaf:name,rdf:type,owner,schema:addressRegion,starRating
1,Bugelenga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Geita_Region,1
2,St Pio,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Geita_Region,1
3,Mabamba,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,2
4,Kifura,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
5,Matyazo,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
6,Bitale,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
7,Mgambo Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
8,Nguruka Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
9,Mwamgongo,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,1
10,Kasaka,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
11,Malagarasi Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
12,Kashuguru Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
13,Kalenge Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
14,Mwakizega Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
15,Ilagala Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
16,Uvinza Health Centre,schema:MedicalClinic,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
17,Katumbi Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
18,Kalya Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
19,Basanza Dispensary,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
20,Name Of Disp 3,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Kigoma_Region,0
21,Nyamika,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
22,Bisumwa,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
23,Kiabakari Giorgio Fransat,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
24,Ryamisanga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
25,Wegero,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
26,http://dbpedia.org/resource/Mwanza_Regionburiga,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,2
27,Kyawazarwe,schema:Pharmacy,Not Specified,http://dbpedia.org/resource/Mara_Region,1
